Title,Image_URL,Image_Saved
Apsis,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Orbit_mechanics_icon.svg/60px-Orbit_mechanics_icon.svg.png,images\Apsis.jpg
Leucippus,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Leucippus._Line_engraving_by_S._Beyssent_after_Mlle_C._Reyde_Wellcome_V0003528.jpg/170px-Leucippus._Line_engraving_by_S._Beyssent_after_Mlle_C._Reyde_Wellcome_V0003528.jpg,
New Jerusalem,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/2010_Utopien_arche04.jpg/120px-2010_Utopien_arche04.jpg,images\New_Jerusalem.jpg
Falsifiability,https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Edit-clear.svg/40px-Edit-clear.svg.png,images\Falsifiability.jpg
Lunar water,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Markov_1980_fig3.png/350px-Markov_1980_fig3.png,
Tertiary,,
Non-rocket spacelaunch,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Space_elevator_structural_diagram--corrected_for_scale%2BCM%2Betc.svg/224px-Space_elevator_structural_diagram--corrected_for_scale%2BCM%2Betc.svg.png,images\Non-rocket_spacelaunch.jpg
Ala (demon),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Pogled_na_Vucak.jpg/220px-Pogled_na_Vucak.jpg,
Eccentric Jupiter,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/PDS_70.jpg/100px-PDS_70.jpg,images\Eccentric_Jupiter.jpg
Uraniborg,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png,images\Uraniborg.jpg
Atheism,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/Symbol_portal_class.svg/16px-Symbol_portal_class.svg.png,images\Atheism.jpg
Tropical year,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Symbol_category_class.svg/16px-Symbol_category_class.svg.png,images\Tropical_year.jpg
Cycler,,
Navigation,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/World_map_with_equator.svg/80px-World_map_with_equator.svg.png,
Criticism of the theory of relativity,,
Archimedes,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Domenico-Fetti_Archimedes_1620.jpg/220px-Domenico-Fetti_Archimedes_1620.jpg,images\Archimedes.jpg
Atmospheric refraction,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/The_Swimming_Moon.jpg/220px-The_Swimming_Moon.jpg,
List of Schoolhouse Rock! episodes,,
Tranquility Base,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Apollo_11_insignia.png/180px-Apollo_11_insignia.png,images\Tranquility_Base.jpg
Almanac,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/CIL_VI_2305_-_Menologium_Rusticum_Colotianum_05_Iul-Sep_Oct-Dec.jpg/250px-CIL_VI_2305_-_Menologium_Rusticum_Colotianum_05_Iul-Sep_Oct-Dec.jpg,
Musica universalis,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Planetary_Musical_Scales_from_Harmony_of_the_Worlds.jpg/220px-Planetary_Musical_Scales_from_Harmony_of_the_Worlds.jpg,
Occultation,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/UranusAndMoon_20221108_fromJP.jpg/232px-UranusAndMoon_20221108_fromJP.jpg,
First-magnitude star,,
Mechanical explanations of gravitation,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Wikisource-logo.svg/38px-Wikisource-logo.svg.png,images\Mechanical_explanations_of_gravitation.jpg
Neolithic symbols in China,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Brown_pog.svg/8px-Brown_pog.svg.png,images\Neolithic_symbols_in_China.jpg
Tripod,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Tripod_0840.jpg/220px-Tripod_0840.jpg,
Analemma,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Analemma_Earth.png/330px-Analemma_Earth.png,
Albertus Magnus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/St-thomas-aquinasFXD.jpg/73px-St-thomas-aquinasFXD.jpg,images\Albertus_Magnus.jpg
Di indigetes,,
Islamic eschatology,https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Edit-clear.svg/40px-Edit-clear.svg.png,images\Islamic_eschatology.jpg
24 Themis,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png,images\24_Themis.jpg
Campanian,,
Longitude (disambiguation),,
Seven trumpets,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Archangel_blows_the_Nafir.jpg/220px-Archangel_blows_the_Nafir.jpg,
Center of mass,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png,images\Center_of_mass.jpg
Astronomical chronology,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/12px-Commons-logo.svg.png,images\Astronomical_chronology.jpg
Spaceflight,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/RocketSunIcon.svg/16px-RocketSunIcon.svg.png,images\Spaceflight.jpg
Pycnocline,,
25143 Itokawa,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Schematic_view_of_asteroid_%2825143%29_Itokawa.jpg/220px-Schematic_view_of_asteroid_%2825143%29_Itokawa.jpg,images\25143_Itokawa.jpg
Rhyacian,,
On the Heavens,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/30px-Commons-logo.svg.png,images\On_the_Heavens.jpg
Satellite,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Sputnik_asm.jpg/220px-Sputnik_asm.jpg,images\Satellite.jpg
Space ethics,,
Color index,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Crab_Nebula.jpg/19px-Crab_Nebula.jpg,images\Color_index.jpg
Cassini–Huygens,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Titan_in_true_color.jpg/100px-Titan_in_true_color.jpg,images\Cassini–Huygens.jpg
Demosthenian Literary Society,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png,images\Demosthenian_Literary_Society.jpg
Karlheinz Stockhausen,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Altenberger_Dom_1925.jpg/220px-Altenberger_Dom_1925.jpg,images\Karlheinz_Stockhausen.jpg
Epinomis,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Speaker_Icon.svg/15px-Speaker_Icon.svg.png,images\Epinomis.jpg
Lifting gas,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Maxislaunch.jpg/220px-Maxislaunch.jpg,
